,ZTF_Name,Version,subject_ids,NoMatch,#1,#2,#3,#4,#5
0,AT2018hrg,AT2018hrg_20181103_P60_v1.ascii,53623564,5,0,0,0,1,4
1,SN2017iuk,SN2017iuk_20181204_Keck1_v1.ascii,53623565,2,1,1,6,0,0
2,ZTF17aaajnki,ZTF17aaajnki_20180320_P60_v1.ascii,53623566,1,7,2,0,0,0
3,ZTF17aaajnki,ZTF17aaajnki_20180320_P60_v2.ascii,53623567,1,10,2,0,0,0
4,ZTF17aaaobyl,ZTF17aaaobyl_20180826_P60_v2.ascii,53623568,2,1,2,3,1,0
5,ZTF17aaapufz,ZTF17aaapufz_20190304_P200_v1.ascii,53623569,1,9,0,1,0,0
6,ZTF17aaaukqn,ZTF17aaaukqn_20180904_P60_v1.ascii,53623570,4,7,0,0,0,0
7,ZTF17aaawgkc,ZTF17aaawgkc_20180822_P60_v1.ascii,53623571,10,0,0,0,0,1
8,ZTF17aaayjzy,ZTF17aaayjzy_20191214_P60_v1.ascii,53623572,1,4,2,1,1,0
9,ZTF17aaazdba,ZTF17aaazdba_20190224_P60_v1.ascii,53623573,9,1,0,1,0,0
10,ZTF17aaazdba,ZTF17aaazdba_20190303_P60_v1.ascii,53623574,8,1,0,0,1,0
11,ZTF17aaazdba,ZTF17aaazdba_20190304_P200_v1.ascii,53623575,4,5,0,0,2,0
12,ZTF17aaazdba,ZTF17aaazdba_20190304_P60_v1.ascii,53623576,8,0,0,1,0,1
13,ZTF17aaazdba,ZTF17aaazdba_20190309_Gemini_N_v2.ascii,53623577,10,0,0,0,0,1
14,ZTF17aaazdba,ZTF17aaazdba_20190310_DCT_v1.ascii,53623578,2,0,0,0,9,0
15,ZTF17aaazdba,ZTF17aaazdba_20190315_P60_v1.ascii,53623579,7,3,0,0,0,1
16,ZTF17aaazdba,ZTF17aaazdba_20190316_NOT_v1.ascii,53623580,7,4,0,0,0,0
17,ZTF17aaazdba,ZTF17aaazdba_20190319_P60_v1.ascii,53623581,0,9,0,0,0,1
18,ZTF17aaazdba,ZTF17aaazdba_20190323_Gemini_N_v1.ascii,53623582,2,7,0,1,0,0
19,ZTF17aaazdba,ZTF17aaazdba_20190324_P60_v1.ascii,53623583,5,0,0,4,0,0
20,ZTF17aaazdba,ZTF17aaazdba_20190328_DCT_v3.ascii,53623584,1,0,0,9,0,0
21,ZTF17aaazdba,ZTF17aaazdba_20190330_P60_v1.ascii,53623585,0,8,2,0,0,0
22,ZTF17aaazdba,ZTF17aaazdba_20190406_P60_v1.ascii,53623586,0,6,1,2,1,0
23,ZTF17aaazdba,ZTF17aaazdba_20190417_P60_v1.ascii,53623587,1,4,2,0,2,0
24,ZTF17aaazdba,ZTF17aaazdba_20190424_P60_v1.ascii,53623588,2,0,1,7,1,0
25,ZTF17aaazdba,ZTF17aaazdba_20190501_Keck1_v1.ascii,53623589,0,8,0,0,2,0
26,ZTF17aaazdba,ZTF17aaazdba_20190502_DCT_v1.ascii,53623590,4,0,0,0,0,6
27,ZTF17aaazdba,ZTF17aaazdba_20190505_Lick_3-m_v1.ascii,53623591,0,1,5,1,0,2
28,ZTF17aaazdba,ZTF17aaazdba_20190513_Lick_3-m_v1.ascii,53623592,1,5,4,0,0,0
29,ZTF17aaazdba,ZTF17aaazdba_20190529_DCT_v1.ascii,53623593,4,0,0,0,0,7
30,ZTF17aaazdba,ZTF17aaazdba_20190925_Keck1_v4.ascii,53623594,0,11,0,0,0,0
31,ZTF17aaazdba,ZTF17aaazdba_20191023_DCT_v1.ascii,53623595,0,5,3,0,0,1
32,ZTF17aaazdba,ZTF17aaazdba_20191105_DCT_v1.ascii,53623596,0,0,10,0,0,0
33,ZTF17aaazdba,ZTF17aaazdba_20191203_DCT_v2.ascii,53623597,5,0,1,0,1,2
34,ZTF17aabcpcp,ZTF17aabcpcp_20181102_P60_v1.ascii,53623598,1,6,1,2,0,0
35,ZTF17aaburzk,ZTF17aaburzk_20180717_P60_v1.ascii,53623599,7,0,1,1,0,2
36,ZTF17aadcbei,ZTF17aadcbei_20181117_P60_v1.ascii,53623600,6,1,0,0,0,3
37,ZTF17aadlxmv,ZTF17aadlxmv_20200123_P60_v1.ascii,53623601,0,0,1,7,1,0
38,ZTF18aaabltn,ZTF18aaabltn_20181209_P60_v1.ascii,53623602,0,8,0,1,0,0
39,ZTF18aaabltn,ZTF18aaabltn_20190502_DCT_v1.ascii,53623603,0,1,7,1,1,1
40,ZTF18aaadtdc,ZTF18aaadtdc_20181106_P60_v1.ascii,53623604,0,10,0,0,0,0
41,ZTF18aaaibml,ZTF18aaaibml_20200212_LT_v1.ascii,53623605,2,5,1,0,2,0
42,ZTF18aaaibml,ZTF18aaaibml_20200212_LT_v2.ascii,53623606,0,4,4,1,0,1
43,ZTF18aaaibml,ZTF18aaaibml_20200214_P200_v1.ascii,53623607,0,1,1,6,1,1
44,ZTF18aaaibml,ZTF18aaaibml_20200219_Keck1_v1.ascii,53623608,1,7,1,0,2,0
45,ZTF18aaakpbx,ZTF18aaakpbx_20180928_P60_v2.ascii,53623609,0,2,1,1,2,4
46,ZTF18aaakpsa,ZTF18aaakpsa_20180910_P60_v1.ascii,53623610,1,2,2,0,6,0
47,ZTF18aaaokus,ZTF18aaaokus_20181110_P60_v1.ascii,53623611,1,2,2,0,1,5
48,ZTF18aaaqexr,ZTF18aaaqexr_20200215_P60_v1.ascii,53623612,7,0,2,0,0,1
49,ZTF18aaaqexr,ZTF18aaaqexr_20200220_P60_v1.ascii,53623613,8,1,1,1,0,0
50,ZTF18aabcvnq,ZTF18aabcvnq_20180604_P60_v1.ascii,53623614,7,0,0,0,3,1
51,ZTF18aabfxpw,ZTF18aabfxpw_20181220_P60_v1.ascii,53623615,5,2,4,0,0,0
52,ZTF18aabicqe,ZTF18aabicqe_20181103_P60_v1.ascii,53623616,0,9,1,0,0,1
53,ZTF18aabilqu,ZTF18aabilqu_20180522_P200_v1.ascii,53623617,2,4,1,0,0,2
54,ZTF18aabilqu,ZTF18aabilqu_20180522_P60_v1.ascii,53623618,0,2,6,0,2,1
55,ZTF18aabssth,ZTF18aabssth_20180309_P60_v1.ascii,53623619,1,4,1,1,0,3
56,ZTF18aabtahy,ZTF18aabtahy_20180308_P200_v1.ascii,53623620,1,4,0,1,2,2
57,ZTF18aabtxvd,ZTF18aabtxvd_20180307_P60_v1.ascii,53623621,3,0,1,5,0,0
58,ZTF18aabtxvd,ZTF18aabtxvd_20180326_P60_v1.ascii,53623622,4,1,0,0,0,6
59,ZTF18aabtxvd,ZTF18aabtxvd_20180327_P60_v1.ascii,53623623,4,4,0,2,1,0
60,ZTF18aabtxvd,ZTF18aabtxvd_20180328_WHT_v1.ascii,53623624,3,1,0,3,2,0
61,ZTF18aabtxvd,ZTF18aabtxvd_20180404_DCT_v3.ascii,53623625,4,0,1,0,5,1
62,ZTF18aabtxvd,ZTF18aabtxvd_20180411_DCT_v2.ascii,53623626,0,1,1,9,0,0
63,ZTF18aabtxvd,ZTF18aabtxvd_20180411_P200_v1.ascii,53623627,2,1,0,1,1,3
64,ZTF18aabtxvd,ZTF18aabtxvd_20180417_Keck1_v1.ascii,53623628,1,0,2,1,3,1
65,ZTF18aabtxvd,ZTF18aabtxvd_20180419_Gemini_N_v1.ascii,53623629,1,2,0,2,4,0
66,ZTF18aabtxvd,ZTF18aabtxvd_20180505_Gemini_N_v1.ascii,53623630,1,2,0,1,1,6
67,ZTF18aabtxvd,ZTF18aabtxvd_20180506_DCT_v1.ascii,53623631,1,2,1,0,7,0
68,ZTF18aabtxvd,ZTF18aabtxvd_20180513_DCT_v1.ascii,53623632,0,1,0,9,0,0
69,ZTF18aabtxvd,ZTF18aabtxvd_20180519_DCT_v2.ascii,53623633,2,0,2,0,0,6
70,ZTF18aabtxvd,ZTF18aabtxvd_20191023_DCT_v1.ascii,53623634,1,1,9,0,0,0
71,ZTF18aabuoud,ZTF18aabuoud_20190705_P60_v1.ascii,53623635,2,0,10,0,1,0
72,ZTF18aabvmws,ZTF18aabvmws_20181110_P60_v1.ascii,53623636,0,2,5,4,0,0
73,ZTF18aabvpbb,ZTF18aabvpbb_20180919_P60_v1.ascii,53623637,5,0,0,0,5,1
74,ZTF18aabxlsv,ZTF18aabxlsv_20180510_P60_v1.ascii,53623638,2,6,2,0,0,1
75,ZTF18aabxlsv,ZTF18aabxlsv_20180517_P200_v1.ascii,53623639,4,1,1,0,5,0
76,ZTF18aabxlsv,ZTF18aabxlsv_20181110_Keck1_v1.ascii,53623640,0,1,2,0,8,0
77,ZTF18aabybkt,ZTF18aabybkt_20180308_P200_v1.ascii,53623641,1,1,5,0,1,1
78,ZTF18aabybkt,ZTF18aabybkt_20180309_P60_v1.ascii,53623642,0,2,1,6,0,3
79,ZTF18aabybkt,ZTF18aabybkt_20180316_P60_v1.ascii,53623643,1,3,0,0,3,3
80,ZTF18aabybkt,ZTF18aabybkt_20180321_APO_v1.ascii,53623644,1,0,4,5,1,1
81,ZTF18aaccmnh,ZTF18aaccmnh_20180517_P200_v1.ascii,53623645,0,6,2,2,0,1
82,ZTF18aachojf,ZTF18aachojf_20180523_P60_v1.ascii,53623646,0,7,3,1,0,0
83,ZTF18aacopwm,ZTF18aacopwm_20181204_Keck1_v1.ascii,53623647,0,10,0,1,0,0
84,ZTF18aacsudg,ZTF18aacsudg_20191001_P60_v1.ascii,53623648,0,0,6,3,0,1
85,ZTF18aacsudg,ZTF18aacsudg_20191003_P200_v1.ascii,53623649,0,7,1,3,0,0
86,ZTF18aadbtae,ZTF18aadbtae_20190701_P200_v1.ascii,53623650,0,3,3,2,1,1
87,ZTF18aadkjmo,ZTF18aadkjmo_20181102_P60_v1.ascii,53623651,1,6,1,0,2,1
88,ZTF18aadnqwz,ZTF18aadnqwz_20180831_P60_v1.ascii,53623652,0,5,1,2,2,1
89,ZTF18aadqmyy,ZTF18aadqmyy_20190324_P60_v1.ascii,53623653,0,3,1,3,3,0
90,ZTF18aadzfso,ZTF18aadzfso_20200208_LT_v1.ascii,53623654,1,5,1,2,1,0
91,ZTF18aaegvyd,ZTF18aaegvyd_20190625_P60_v1.ascii,53623655,3,0,3,1,1,3
92,ZTF18aaekkoj,ZTF18aaekkoj_20180514_Keck1_v1.ascii,53623656,0,4,3,2,2,0
93,ZTF18aaemivw,ZTF18aaemivw_20181104_P60_v1.ascii,53623657,0,10,0,0,1,0
94,ZTF18aaenfaa,ZTF18aaenfaa_20180922_P60_v1.ascii,53623658,0,9,1,0,1,0
95,ZTF18aaenucd,ZTF18aaenucd_20190315_P200_v1.ascii,53623659,0,0,1,1,7,1
96,ZTF18aaeoiwu,ZTF18aaeoiwu_20191019_P60_v1.ascii,53623660,2,0,8,0,0,0
97,ZTF18aaermez,ZTF18aaermez_20190212_P200_v1.ascii,53623661,0,9,1,0,0,1
98,ZTF18aaexyql,ZTF18aaexyql_20191102_P60_v1.ascii,53623662,4,0,0,5,1,0
99,ZTF18aaexyql,ZTF18aaexyql_20191126_P60_v1.ascii,53623663,3,0,0,3,5,0
100,ZTF18aaexyql,ZTF18aaexyql_20200101_P200_v1.ascii,53623664,1,0,4,3,1,1
101,ZTF18aaexyql,ZTF18aaexyql_20200124_Keck1_v1.ascii,53623665,0,5,2,3,0,1
102,ZTF18aaeynan,ZTF18aaeynan_20180916_P60_v1.ascii,53623666,0,6,3,1,0,0
103,ZTF18aafcpdd,ZTF18aafcpdd_20181222_P60_v1.ascii,53623667,3,1,1,0,0,6
104,ZTF18aaflcyp,ZTF18aaflcyp_20181229_P60_v1.ascii,53623668,2,3,3,3,0,0
105,ZTF18aagpxsx,ZTF18aagpxsx_20181227_P60_v1.ascii,53623669,0,10,0,0,0,1
106,ZTF18aagpzjk,ZTF18aagpzjk_20180320_P60_v1.ascii,53623670,2,0,0,1,8,0
107,ZTF18aagpzjk,ZTF18aagpzjk_20180410_P200_v1.ascii,53623671,1,3,1,0,5,1
108,ZTF18aagrdcs,ZTF18aagrdcs_20180327_P60_v1.ascii,53623672,0,3,1,0,3,3
109,ZTF18aagrdcs,ZTF18aagrdcs_20180419_P200_v1.ascii,53623673,0,7,0,0,4,0
110,ZTF18aagrdcs,ZTF18aagrdcs_20180419_TNG_v1.ascii,53623674,0,2,1,1,0,7
111,ZTF18aagrkwn,ZTF18aagrkwn_20180601_P60_v1.ascii,53623675,1,2,3,0,3,2
112,ZTF18aagrtxs,ZTF18aagrtxs_20180328_P60_v1.ascii,53623676,0,5,1,2,1,2
113,ZTF18aagstdc,ZTF18aagstdc_20180402_P60_v1.ascii,53623677,0,3,0,0,5,2
114,ZTF18aagtcxj,ZTF18aagtcxj_20180410_P200_v1.ascii,53623678,0,2,7,1,0,0
115,ZTF18aagteoy,ZTF18aagteoy_20180403_P60_v1.ascii,53623679,0,0,10,0,0,0
116,ZTF18aagteoy,ZTF18aagteoy_20180404_DCT_v3.ascii,53623680,0,0,9,0,1,1
117,ZTF18aagtevs,ZTF18aagtevs_20180404_DCT_v2.ascii,53623681,1,4,0,3,1,2
118,ZTF18aahatvc,ZTF18aahatvc_20200507_P60_v1.ascii,53623682,2,6,0,1,0,2
119,ZTF18aahatvc,ZTF18aahatvc_20200518_P60_v1.ascii,53623683,2,7,0,0,2,0
120,ZTF18aahatvc,ZTF18aahatvc_20200522_P60_v1.ascii,53623684,2,1,1,2,3,1
121,ZTF18aahatvc,ZTF18aahatvc_20200527_P200_v1.ascii,53623685,2,1,6,2,0,0
122,ZTF18aahatvc,ZTF18aahatvc_20200527_P200_v4.ascii,53623686,1,1,6,2,0,0
123,ZTF18aahatvc,ZTF18aahatvc_20200527_P200_v5.ascii,53623687,2,0,8,1,0,0
124,ZTF18aahesrp,ZTF18aahesrp_20180410_P60_v1.ascii,53623688,1,1,4,1,4,0
125,ZTF18aahfeiy,ZTF18aahfeiy_20180513_LT_v1.ascii,53623689,4,0,0,1,4,1
126,ZTF18aahfeiy,ZTF18aahfeiy_20180514_P60_v1.ascii,53623690,4,0,1,0,0,3
127,ZTF18aahfeiy,ZTF18aahfeiy_20180517_P200_v1.ascii,53623691,0,9,0,0,2,0
128,ZTF18aahfgsk,ZTF18aahfgsk_20180411_APO_v1.ascii,53623692,1,1,2,2,3,2
129,ZTF18aahfgyz,ZTF18aahfgyz_20180410_P200_v1.ascii,53623693,0,2,6,2,0,1
130,ZTF18aahfjdt,ZTF18aahfjdt_20180419_P60_v1.ascii,53623694,1,2,1,6,1,0
131,ZTF18aahfohe,ZTF18aahfohe_20180419_P60_v1.ascii,53623695,2,4,0,0,1,4
132,ZTF18aahfohe,ZTF18aahfohe_20180513_DCT_v1.ascii,53623696,1,5,3,0,0,0
133,ZTF18aahfqbc,ZTF18aahfqbc_20180411_APO_v1.ascii,53623697,0,3,0,6,0,1
134,ZTF18aahfxnn,ZTF18aahfxnn_20180410_P200_v1.ascii,53623698,0,1,5,4,0,0
135,ZTF18aahfzea,ZTF18aahfzea_20180421_P60_v1.ascii,53623699,0,6,2,3,0,0
136,ZTF18aahfzea,ZTF18aahfzea_20180421_P60_v2.ascii,53623700,0,3,1,5,0,1
137,ZTF18aahheaj,ZTF18aahheaj_20180411_APO_v1.ascii,53623701,1,1,1,7,0,0
138,ZTF18aahheaj,ZTF18aahheaj_20180414_LT_v1.ascii,53623702,2,4,0,0,3,1
139,ZTF18aahhenr,ZTF18aahhenr_20180411_APO_v1.ascii,53623703,3,3,0,0,4,1
140,ZTF18aahhenr,ZTF18aahhenr_20180412_LT_v1.ascii,53623704,0,1,0,0,4,5
141,ZTF18aahhqih,ZTF18aahhqih_20180327_P60_v1.ascii,53623705,2,1,2,3,2,0
142,ZTF18aahhzqn,ZTF18aahhzqn_20180421_P60_v1.ascii,53623706,1,0,1,2,2,5
143,ZTF18aahhzqn,ZTF18aahhzqn_20180421_P60_v2.ascii,53623707,3,3,1,1,0,2
144,ZTF18aahhzqn,ZTF18aahhzqn_20180502_NOT_v1.ascii,53623708,0,6,0,3,1,1
145,ZTF18aahhzqn,ZTF18aahhzqn_20190403_Keck1_v1.ascii,53623709,2,2,1,0,1,5
146,ZTF18aahijwe,ZTF18aahijwe_20180425_P60_v1.ascii,53623710,1,0,5,3,0,1
147,ZTF18aahjafd,ZTF18aahjafd_20180421_APO_v1.ascii,53623711,2,6,1,0,1,1
148,ZTF18aahjaxz,ZTF18aahjaxz_20180419_P60_v1.ascii,53623712,2,3,5,0,1,0
149,ZTF18aahjaxz,ZTF18aahjaxz_20180419_P60_v2.ascii,53623713,0,4,4,1,1,1
150,ZTF18aahjaxz,ZTF18aahjaxz_20180419_P60_v3.ascii,53623714,2,0,1,0,5,2
151,ZTF18aahjaxz,ZTF18aahjaxz_20180419_P60_v4.ascii,53623715,0,5,3,1,0,1
152,ZTF18aahjaxz,ZTF18aahjaxz_20180421_P60_v1.ascii,53623716,1,5,1,1,1,1
153,ZTF18aahjaxz,ZTF18aahjaxz_20180421_P60_v2.ascii,53623717,1,5,4,0,0,1
154,ZTF18aahjaxz,ZTF18aahjaxz_20180428_LT_v1.ascii,53623718,2,5,2,0,1,0
155,ZTF18aahmhxu,ZTF18aahmhxu_20180422_P60_v2.ascii,53623719,5,2,1,1,0,1
156,ZTF18aahmhxu,ZTF18aahmhxu_20180422_P60_v4.ascii,53623720,4,1,0,4,1,0
157,ZTF18aahmhxu,ZTF18aahmhxu_20180428_LT_v1.ascii,53623721,5,0,1,0,4,0
158,ZTF18aahmhxu,ZTF18aahmhxu_20180517_P200_v1.ascii,53623722,3,0,5,1,0,1
159,ZTF18aahmhxu,ZTF18aahmhxu_20180517_P200_v2.ascii,53623723,2,2,4,1,1,1
160,ZTF18aahmhxu,ZTF18aahmhxu_20180717_P200_v1.ascii,53623724,1,1,3,2,3,0
161,ZTF18aahmhxu,ZTF18aahmhxu_20181213_P200_v1.ascii,53623725,1,3,2,0,4,1
162,ZTF18aahmhxu,ZTF18aahmhxu_20181213_P200_v2.ascii,53623726,0,4,5,0,0,1
163,ZTF18aahmkac,ZTF18aahmkac_20190529_DCT_v1.ascii,53623727,1,3,0,6,0,1
164,ZTF18aahmxqa,ZTF18aahmxqa_20180409_P60_v2.ascii,53623728,4,3,0,1,0,1
165,ZTF18aahmxqa,ZTF18aahmxqa_20180409_P60_v5.ascii,53623729,0,1,6,4,0,0
166,ZTF18aahmxqa,ZTF18aahmxqa_20180409_P60_v6.ascii,53623730,1,4,3,1,0,1
167,ZTF18aahmxqa,ZTF18aahmxqa_20180410_P200_v1.ascii,53623731,0,10,0,0,0,1
168,ZTF18aahmxqa,ZTF18aahmxqa_20180417_NOT_v1.ascii,53623732,1,1,0,1,8,0
169,ZTF18aahmxqa,ZTF18aahmxqa_20180419_TNG_v1.ascii,53623733,1,5,2,1,2,0
170,ZTF18aahmxqa,ZTF18aahmxqa_20180514_Keck1_v1.ascii,53623734,0,4,0,1,4,2
171,ZTF18aahmxqa,ZTF18aahmxqa_20180712_Keck1_v1.ascii,53623735,0,6,0,0,5,0
172,ZTF18aahnnly,ZTF18aahnnly_20180508_P200_v1.ascii,53623736,0,2,1,7,1,0
173,ZTF18aahpbal,ZTF18aahpbal_20180418_P60_v1.ascii,53623737,0,10,0,0,1,0
174,ZTF18aahpbwz,ZTF18aahpbwz_20180426_P60_v1.ascii,53623738,0,0,1,1,9,0
175,ZTF18aahpbwz,ZTF18aahpbwz_20180509_NOT_v1.ascii,53623739,1,3,4,1,1,0
176,ZTF18aahpbwz,ZTF18aahpbwz_20180509_P60_v1.ascii,53623740,2,0,9,0,0,0
177,ZTF18aahpbwz,ZTF18aahpbwz_20180509_P60_v2.ascii,53623741,3,1,0,1,3,3
178,ZTF18aahpbwz,ZTF18aahpbwz_20180509_P60_v3.ascii,53623742,3,3,1,0,3,0
179,ZTF18aahpbwz,ZTF18aahpbwz_20180516_NOT_v1.ascii,53623743,1,9,0,0,1,0
180,ZTF18aahpbwz,ZTF18aahpbwz_20180517_P200_v1.ascii,53623744,1,7,0,2,1,0
181,ZTF18aahpbwz,ZTF18aahpbwz_20181110_Keck1_v1.ascii,53623745,3,1,0,0,6,0
182,ZTF18aahptcq,ZTF18aahptcq_20180415_P60_v1.ascii,53623746,4,4,1,0,2,0
183,ZTF18aahptcq,ZTF18aahptcq_20180415_P60_v2.ascii,53623747,4,0,6,0,0,1
184,ZTF18aahqfee,ZTF18aahqfee_20180513_DCT_v1.ascii,53623748,0,2,3,0,6,0
185,ZTF18aahqkbt,ZTF18aahqkbt_20180418_P60_v1.ascii,53623749,6,3,0,0,1,0
186,ZTF18aahqkbt,ZTF18aahqkbt_20180513_DCT_v1.ascii,53623750,1,0,8,0,1,0
187,ZTF18aahqkbt,ZTF18aahqkbt_20180517_P60_v1.ascii,53623751,1,0,11,1,0,0
188,ZTF18aahqkbt,ZTF18aahqkbt_20180519_DCT_v1.ascii,53623752,0,3,4,0,0,1
189,ZTF18aahqkbt,ZTF18aahqkbt_20180520_P60_v1.ascii,53623753,0,2,6,0,3,0
190,ZTF18aahqkbt,ZTF18aahqkbt_20180913_DCT_v1.ascii,53623754,3,1,2,0,2,3
191,ZTF18aahqkbt,ZTF18aahqkbt_20191023_DCT_v1.ascii,53623755,1,2,3,3,2,0
192,ZTF18aahqmsr,ZTF18aahqmsr_20180426_P60_v1.ascii,53623756,1,4,0,0,1,5
193,ZTF18aahshhp,ZTF18aahshhp_20200303_P60_v1.ascii,53623757,1,2,7,0,0,1
194,ZTF18aahtjsc,ZTF18aahtjsc_20190401_P60_v1.ascii,53623758,6,5,0,0,0,0
195,ZTF18aahtkze,ZTF18aahtkze_20180513_DCT_v1.ascii,53623759,2,3,1,2,3,0
196,ZTF18aahuujv,ZTF18aahuujv_20190704_P200_v1.ascii,53623760,0,8,1,1,0,0
197,ZTF18aahuujv,ZTF18aahuujv_20190704_P60_v1.ascii,53623761,4,3,0,2,0,0
198,ZTF18aahuujv,ZTF18aahuujv_20190708_P60_v1.ascii,53623762,2,2,0,0,0,7
199,ZTF18aahvcby,ZTF18aahvcby_20180513_DCT_v1.ascii,53623763,0,8,0,1,0,1
200,ZTF18aaiiigm,ZTF18aaiiigm_20190314_P60_v1.ascii,53623764,1,0,1,1,0,8
201,ZTF18aaikcbb,ZTF18aaikcbb_20180616_P200_v2.ascii,53623765,0,3,0,7,0,1
202,ZTF18aaikcbb,ZTF18aaikcbb_20180717_P200_v1.ascii,53623766,0,4,1,2,1,2
203,ZTF18aaikyip,ZTF18aaikyip_20181223_P60_v1.ascii,53623767,2,0,5,1,0,3
204,ZTF18aaikyip,ZTF18aaikyip_20181224_P60_v1.ascii,53623768,1,0,0,0,6,3
205,ZTF18aailmnv,ZTF18aailmnv_20180721_P60_v1.ascii,53623769,2,2,1,0,6,0
206,ZTF18aainvic,ZTF18aainvic_20180516_P200_v1.ascii,53623770,0,2,0,7,2,0
207,ZTF18aainvic,ZTF18aainvic_20180608_NOT_v1.ascii,53623771,0,5,1,1,2,1
208,ZTF18aainvic,ZTF18aainvic_20180622_TNG_v2.ascii,53623772,0,7,0,2,0,1
209,ZTF18aainvic,ZTF18aainvic_20180714_TNG_v1.ascii,53623773,1,0,7,3,0,0
210,ZTF18aainvic,ZTF18aainvic_20180717_P200_v1.ascii,53623774,1,1,5,0,0,4
211,ZTF18aainvic,ZTF18aainvic_20180806_TNG_v2.ascii,53623775,0,2,1,4,0,3
212,ZTF18aainvic,ZTF18aainvic_20180930_TNG_v1.ascii,53623776,2,1,5,3,0,0
213,ZTF18aairuad,ZTF18aairuad_20180416_LT_v1.ascii,53623777,1,3,0,4,1,2
214,ZTF18aaisyyp,ZTF18aaisyyp_20180504_NOT_v1.ascii,53623778,1,8,0,0,1,1
215,ZTF18aaisyyp,ZTF18aaisyyp_20180504_P60_v1.ascii,53623779,3,2,0,3,0,3
216,ZTF18aaisyyp,ZTF18aaisyyp_20180514_Keck1_v1.ascii,53623780,0,7,1,0,2,0
217,ZTF18aaisyyp,ZTF18aaisyyp_20190104_Keck1_v1.ascii,53623781,2,1,3,0,5,0
218,ZTF18aaisyyp,ZTF18aaisyyp_20190403_Keck1_v1.ascii,53623782,0,0,1,7,3,0
219,ZTF18aaitfrq,ZTF18aaitfrq_20181227_P200_v1.ascii,53623783,0,1,0,2,4,4
220,ZTF18aaiykoz,ZTF18aaiykoz_20200611_P60_v1.ascii,53623784,3,4,0,1,0,2
221,ZTF18aaiykoz,ZTF18aaiykoz_20200617_P60_v1.ascii,53623785,0,2,0,1,0,7
222,ZTF18aaizerg,ZTF18aaizerg_20200114_P60_v1.ascii,53623786,0,0,0,9,0,0
223,ZTF18aajivpr,ZTF18aajivpr_20200416_P60_v1.ascii,53623787,0,7,0,1,3,0
224,ZTF18aajivpr,ZTF18aajivpr_20200416_P60_v2.ascii,53623788,0,5,0,4,0,2
225,ZTF18aajnqmp,ZTF18aajnqmp_20180610_P60_v1.ascii,53623789,0,6,4,0,0,1
226,ZTF18aajpjdi,ZTF18aajpjdi_20180425_P60_v1.ascii,53623790,2,2,5,1,0,0
227,ZTF18aajpjdi,ZTF18aajpjdi_20180427_LT_v1.ascii,53623791,1,2,2,1,3,1
228,ZTF18aajqcue,ZTF18aajqcue_20180516_LT_v2.ascii,53623792,2,4,0,1,0,3
229,ZTF18aajqcue,ZTF18aajqcue_20180516_P200_v1.ascii,53623793,2,5,0,0,1,3
230,ZTF18aajqcue,ZTF18aajqcue_20180516_P200_v2.ascii,53623794,1,0,0,4,4,2
231,ZTF18aajqcue,ZTF18aajqcue_20180530_NOT_v1.ascii,53623795,5,0,0,3,0,2
232,ZTF18aajqcue,ZTF18aajqcue_20180609_P200_v1.ascii,53623796,3,1,4,0,0,3
233,ZTF18aajqcue,ZTF18aajqcue_20180609_P200_v3.ascii,53623797,3,0,0,7,0,1
234,ZTF18aajqcue,ZTF18aajqcue_20180610_LT_v1.ascii,53623798,2,3,1,1,2,1
235,ZTF18aajqcue,ZTF18aajqcue_20180625_NOT_v1.ascii,53623799,2,0,0,0,1,7
236,ZTF18aajqcue,ZTF18aajqcue_20180717_P200_v1.ascii,53623800,1,1,2,4,3,0
237,ZTF18aajqcue,ZTF18aajqcue_20190104_Keck1_v1.ascii,53623801,0,1,1,0,1,8
238,ZTF18aajqcue,ZTF18aajqcue_20190304_Keck1_v1.ascii,53623802,1,0,5,1,2,1
239,ZTF18aajqcue,ZTF18aajqcue_20190427_P200_v1.ascii,53623803,5,0,0,0,3,2
240,ZTF18aajrwju,ZTF18aajrwju_20180605_P60_v1.ascii,53623804,0,9,1,0,1,0
241,ZTF18aajswer,ZTF18aajswer_20180722_P60_v1.ascii,53623805,0,8,3,0,0,0
242,ZTF18aajtlbf,ZTF18aajtlbf_20180420_P200_v1.ascii,53623806,0,3,1,2,3,2
243,ZTF18aajupnt,ZTF18aajupnt_20180612_P200_v1.ascii,53623807,0,6,1,3,1,0
244,ZTF18aajupnt,ZTF18aajupnt_20180722_P60_v1.ascii,53623808,0,4,4,2,0,0
245,ZTF18aajupnt,ZTF18aajupnt_20180807_Keck1_v1.ascii,53623809,0,1,0,8,0,1
246,ZTF18aajupnt,ZTF18aajupnt_20180812_P60_v1.ascii,53623810,0,5,0,1,4,1
247,ZTF18aajupnt,ZTF18aajupnt_20180812_P60_v2.ascii,53623811,2,1,8,0,0,0
248,ZTF18aajupnt,ZTF18aajupnt_20180821_Gemini_N_v1.ascii,53623812,0,4,1,1,4,1
249,ZTF18aajupnt,ZTF18aajupnt_20180913_DCT_v1.ascii,53623813,0,1,1,1,6,1
250,ZTF18aajupnt,ZTF18aajupnt_20190502_DCT_v1.ascii,53623814,1,2,0,1,3,3
251,ZTF18aajupnt,ZTF18aajupnt_20190629_DCT_v2.ascii,53623815,4,2,0,0,3,1
